<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,D,20160701,000000,332.4500000
ROSN,D,20160704,000000,331.2000000
ROSN,D,20160705,000000,329.4000000
ROSN,D,20160706,000000,320.5000000
ROSN,D,20160707,000000,320.9000000
ROSN,D,20160708,000000,325.0000000
ROSN,D,20160711,000000,328.3500000
ROSN,D,20160712,000000,339.4000000
ROSN,D,20160713,000000,336.5000000
ROSN,D,20160714,000000,336.5000000
ROSN,D,20160715,000000,335.0000000
ROSN,D,20160718,000000,333.7000000
ROSN,D,20160719,000000,329.5000000
ROSN,D,20160720,000000,329.0500000
ROSN,D,20160721,000000,334.3000000
ROSN,D,20160722,000000,334.3000000
ROSN,D,20160725,000000,334.0000000
ROSN,D,20160726,000000,330.0000000
ROSN,D,20160727,000000,329.9000000
ROSN,D,20160728,000000,334.0000000
ROSN,D,20160729,000000,325.5000000
ROSN,D,20160801,000000,325.6000000
ROSN,D,20160802,000000,317.3500000
ROSN,D,20160803,000000,323.2500000
ROSN,D,20160804,000000,329.0000000
ROSN,D,20160805,000000,329.9000000
ROSN,D,20160808,000000,329.0000000
ROSN,D,20160809,000000,329.9000000
ROSN,D,20160810,000000,326.6000000
ROSN,D,20160811,000000,325.0500000
ROSN,D,20160812,000000,330.8500000
ROSN,D,20160815,000000,339.0000000
ROSN,D,20160816,000000,343.5000000
ROSN,D,20160817,000000,345.5500000
ROSN,D,20160818,000000,351.8500000
ROSN,D,20160819,000000,349.0500000
ROSN,D,20160822,000000,351.7500000
ROSN,D,20160823,000000,351.0000000
ROSN,D,20160824,000000,350.2000000
ROSN,D,20160825,000000,348.2000000
ROSN,D,20160826,000000,350.5500000
ROSN,D,20160829,000000,350.6000000
ROSN,D,20160830,000000,348.0000000
ROSN,D,20160831,000000,344.7000000
ROSN,D,20160901,000000,341.3000000
ROSN,D,20160902,000000,349.9000000
ROSN,D,20160905,000000,353.6000000
ROSN,D,20160906,000000,358.0000000
ROSN,D,20160907,000000,364.0000000
ROSN,D,20160908,000000,364.7500000
ROSN,D,20160909,000000,362.4000000
ROSN,D,20160912,000000,367.0000000
ROSN,D,20160913,000000,363.9000000
ROSN,D,20160914,000000,367.1500000
ROSN,D,20160915,000000,367.9000000
ROSN,D,20160916,000000,360.8500000
ROSN,D,20160919,000000,361.2000000
ROSN,D,20160920,000000,358.8000000
ROSN,D,20160921,000000,360.0000000
ROSN,D,20160922,000000,360.4500000
ROSN,D,20160923,000000,356.0500000
ROSN,D,20160926,000000,350.3500000
ROSN,D,20160927,000000,341.0000000
ROSN,D,20160928,000000,341.3000000
ROSN,D,20160929,000000,349.2000000
ROSN,D,20160930,000000,342.8000000
ROSN,D,20161003,000000,346.0000000
ROSN,D,20161004,000000,346.6000000
ROSN,D,20161005,000000,341.7000000
ROSN,D,20161006,000000,343.4000000
ROSN,D,20161007,000000,341.5000000
ROSN,D,20161010,000000,361.0000000
ROSN,D,20161011,000000,362.0500000
ROSN,D,20161012,000000,363.1500000
ROSN,D,20161013,000000,359.4000000
ROSN,D,20161014,000000,353.8500000
ROSN,D,20161017,000000,348.0000000
ROSN,D,20161018,000000,345.7500000
ROSN,D,20161019,000000,345.1000000
ROSN,D,20161020,000000,342.8000000
ROSN,D,20161021,000000,344.3000000
ROSN,D,20161024,000000,347.7500000
ROSN,D,20161025,000000,348.7000000
ROSN,D,20161026,000000,347.6000000
ROSN,D,20161027,000000,346.7000000
ROSN,D,20161028,000000,349.9000000
ROSN,D,20161031,000000,347.6500000
ROSN,D,20161101,000000,354.8000000
ROSN,D,20161102,000000,348.1500000
ROSN,D,20161103,000000,342.0000000
ROSN,D,20161107,000000,341.0000000
ROSN,D,20161108,000000,340.5000000
ROSN,D,20161109,000000,347.6000000
ROSN,D,20161110,000000,351.0500000
ROSN,D,20161111,000000,342.1000000
ROSN,D,20161114,000000,337.7000000
ROSN,D,20161115,000000,338.0000000
ROSN,D,20161116,000000,339.2500000
ROSN,D,20161117,000000,338.1500000
ROSN,D,20161118,000000,337.0000000
ROSN,D,20161121,000000,340.5500000
ROSN,D,20161122,000000,341.8000000
ROSN,D,20161123,000000,347.4500000
ROSN,D,20161124,000000,346.5500000
ROSN,D,20161125,000000,341.5000000
ROSN,D,20161128,000000,336.6000000
ROSN,D,20161129,000000,336.7500000
ROSN,D,20161130,000000,340.2000000
ROSN,D,20161201,000000,338.5000000
ROSN,D,20161202,000000,340.0000000
ROSN,D,20161205,000000,351.5000000
ROSN,D,20161206,000000,352.6500000
ROSN,D,20161207,000000,356.2500000
ROSN,D,20161208,000000,375.8500000
ROSN,D,20161209,000000,370.8000000
ROSN,D,20161212,000000,388.1500000
ROSN,D,20161213,000000,397.8000000
ROSN,D,20161214,000000,403.0500000
ROSN,D,20161215,000000,400.4500000
ROSN,D,20161216,000000,410.5000000
ROSN,D,20161219,000000,402.6000000
ROSN,D,20161220,000000,400.1500000
ROSN,D,20161221,000000,399.6500000
ROSN,D,20161222,000000,391.6000000
ROSN,D,20161223,000000,382.8500000
ROSN,D,20161226,000000,388.6500000
ROSN,D,20161227,000000,398.0000000
ROSN,D,20161228,000000,398.2000000
ROSN,D,20161229,000000,398.8000000
ROSN,D,20161230,000000,402.8000000
ROSN,D,20170103,000000,419.5000000
ROSN,D,20170104,000000,406.4000000
ROSN,D,20170105,000000,399.0000000
ROSN,D,20170106,000000,392.5000000
ROSN,D,20170109,000000,394.0000000
ROSN,D,20170110,000000,404.4000000
ROSN,D,20170111,000000,397.5000000
ROSN,D,20170112,000000,390.9500000
ROSN,D,20170113,000000,388.0000000
ROSN,D,20170116,000000,392.2000000
ROSN,D,20170117,000000,391.7000000
ROSN,D,20170118,000000,387.0000000
ROSN,D,20170119,000000,380.7500000
ROSN,D,20170120,000000,387.5000000
ROSN,D,20170123,000000,390.2000000
ROSN,D,20170124,000000,388.1500000
ROSN,D,20170125,000000,383.7000000
ROSN,D,20170126,000000,389.0000000
ROSN,D,20170127,000000,402.0000000
ROSN,D,20170130,000000,399.0000000
ROSN,D,20170131,000000,400.6000000
ROSN,D,20170201,000000,401.5000000
ROSN,D,20170202,000000,397.3000000
ROSN,D,20170203,000000,397.8500000
ROSN,D,20170206,000000,394.0000000
ROSN,D,20170207,000000,389.7000000
ROSN,D,20170208,000000,378.0500000
ROSN,D,20170209,000000,379.8000000
ROSN,D,20170210,000000,377.6000000
ROSN,D,20170213,000000,379.0000000
