<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
LKOH,D,20130301,000000,1958.6000000
LKOH,D,20130304,000000,1965.5000000
LKOH,D,20130305,000000,1974.5000000
LKOH,D,20130306,000000,1992.0000000
LKOH,D,20130307,000000,2010.0000000
LKOH,D,20130311,000000,2015.7000000
LKOH,D,20130312,000000,2014.9000000
LKOH,D,20130313,000000,2003.0000000
LKOH,D,20130314,000000,1996.1000000
LKOH,D,20130315,000000,1994.0000000
LKOH,D,20130318,000000,1962.5000000
LKOH,D,20130319,000000,1939.2000000
LKOH,D,20130320,000000,1948.6000000
LKOH,D,20130321,000000,1940.0000000
LKOH,D,20130322,000000,1943.0000000
LKOH,D,20130325,000000,1923.0000000
LKOH,D,20130326,000000,1938.0000000
LKOH,D,20130327,000000,1969.5000000
LKOH,D,20130328,000000,1996.9000000
LKOH,D,20130329,000000,1998.5000000
LKOH,D,20130401,000000,1975.0000000
LKOH,D,20130402,000000,1990.5000000
LKOH,D,20130403,000000,1973.9000000
LKOH,D,20130404,000000,1967.6000000
LKOH,D,20130405,000000,1935.6000000
LKOH,D,20130408,000000,1920.1000000
LKOH,D,20130409,000000,1961.1000000
LKOH,D,20130410,000000,1948.8000000
LKOH,D,20130411,000000,1927.3000000
LKOH,D,20130412,000000,1929.4000000
LKOH,D,20130415,000000,1898.8000000
LKOH,D,20130416,000000,1901.0000000
LKOH,D,20130417,000000,1902.0000000
LKOH,D,20130418,000000,1892.8000000
LKOH,D,20130419,000000,1882.0000000
LKOH,D,20130422,000000,1868.7000000
LKOH,D,20130423,000000,1898.1000000
LKOH,D,20130424,000000,1964.1000000
LKOH,D,20130425,000000,1959.0000000
LKOH,D,20130426,000000,1950.0000000
LKOH,D,20130429,000000,1932.0000000
LKOH,D,20130430,000000,1972.5000000
LKOH,D,20130502,000000,1973.6000000
LKOH,D,20130503,000000,2006.0000000
LKOH,D,20130506,000000,2013.4000000
LKOH,D,20130507,000000,2036.8000000
LKOH,D,20130508,000000,2037.0000000
LKOH,D,20130510,000000,2039.7000000
LKOH,D,20130513,000000,2049.4000000
