<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SPFB.RTS,D,20160419,000000,91940.0000000
SPFB.RTS,D,20160420,000000,94650.0000000
SPFB.RTS,D,20160421,000000,91560.0000000
SPFB.RTS,D,20160422,000000,92470.0000000
SPFB.RTS,D,20160425,000000,91910.0000000
SPFB.RTS,D,20160426,000000,93870.0000000
SPFB.RTS,D,20160427,000000,93320.0000000
SPFB.RTS,D,20160428,000000,94650.0000000
SPFB.RTS,D,20160429,000000,94680.0000000
SPFB.RTS,D,20160504,000000,89610.0000000
SPFB.RTS,D,20160505,000000,90520.0000000
SPFB.RTS,D,20160506,000000,90140.0000000
SPFB.RTS,D,20160510,000000,89420.0000000
SPFB.RTS,D,20160511,000000,91850.0000000
SPFB.RTS,D,20160512,000000,91960.0000000
SPFB.RTS,D,20160513,000000,91010.0000000
SPFB.RTS,D,20160516,000000,92590.0000000
SPFB.RTS,D,20160517,000000,92420.0000000
SPFB.RTS,D,20160518,000000,90600.0000000
SPFB.RTS,D,20160519,000000,89010.0000000
SPFB.RTS,D,20160520,000000,88690.0000000
SPFB.RTS,D,20160523,000000,87900.0000000
SPFB.RTS,D,20160524,000000,89440.0000000
SPFB.RTS,D,20160525,000000,91130.0000000
SPFB.RTS,D,20160526,000000,91270.0000000
SPFB.RTS,D,20160527,000000,91510.0000000
SPFB.RTS,D,20160530,000000,92190.0000000
SPFB.RTS,D,20160531,000000,89470.0000000
SPFB.RTS,D,20160601,000000,88480.0000000
SPFB.RTS,D,20160602,000000,88810.0000000
SPFB.RTS,D,20160603,000000,90700.0000000
SPFB.RTS,D,20160606,000000,91900.0000000
SPFB.RTS,D,20160607,000000,94760.0000000
SPFB.RTS,D,20160608,000000,96360.0000000
SPFB.RTS,D,20160609,000000,94520.0000000
SPFB.RTS,D,20160610,000000,89660.0000000
SPFB.RTS,D,20160614,000000,86770.0000000
SPFB.RTS,D,20160615,000000,88130.0000000
SPFB.RTS,D,20160616,000000,87090.0000000
SPFB.RTS,D,20160617,000000,88750.0000000
SPFB.RTS,D,20160620,000000,90710.0000000
SPFB.RTS,D,20160621,000000,92190.0000000
SPFB.RTS,D,20160622,000000,89110.0000000
SPFB.RTS,D,20160623,000000,92600.0000000
SPFB.RTS,D,20160624,000000,88080.0000000
SPFB.RTS,D,20160627,000000,86710.0000000
SPFB.RTS,D,20160628,000000,89230.0000000
SPFB.RTS,D,20160629,000000,90890.0000000
SPFB.RTS,D,20160630,000000,90640.0000000
SPFB.RTS,D,20160701,000000,91800.0000000
SPFB.RTS,D,20160704,000000,91960.0000000
SPFB.RTS,D,20160705,000000,90790.0000000
SPFB.RTS,D,20160706,000000,91190.0000000
SPFB.RTS,D,20160707,000000,89540.0000000
SPFB.RTS,D,20160708,000000,91670.0000000
SPFB.RTS,D,20160711,000000,92300.0000000
SPFB.RTS,D,20160712,000000,94200.0000000
SPFB.RTS,D,20160713,000000,94080.0000000
SPFB.RTS,D,20160714,000000,96120.0000000
SPFB.RTS,D,20160715,000000,95220.0000000
SPFB.RTS,D,20160718,000000,96090.0000000
SPFB.RTS,D,20160719,000000,94570.0000000
SPFB.RTS,D,20160720,000000,94690.0000000
SPFB.RTS,D,20160721,000000,94020.0000000
SPFB.RTS,D,20160722,000000,93970.0000000
SPFB.RTS,D,20160725,000000,92640.0000000
SPFB.RTS,D,20160726,000000,92400.0000000
SPFB.RTS,D,20160727,000000,92400.0000000
SPFB.RTS,D,20160728,000000,92310.0000000
SPFB.RTS,D,20160729,000000,93030.0000000
SPFB.RTS,D,20160801,000000,91200.0000000
SPFB.RTS,D,20160802,000000,90330.0000000
SPFB.RTS,D,20160803,000000,91800.0000000
SPFB.RTS,D,20160804,000000,93110.0000000
SPFB.RTS,D,20160805,000000,93480.0000000
SPFB.RTS,D,20160808,000000,94840.0000000
SPFB.RTS,D,20160809,000000,94830.0000000
SPFB.RTS,D,20160810,000000,93920.0000000
SPFB.RTS,D,20160811,000000,95190.0000000
SPFB.RTS,D,20160812,000000,95270.0000000
SPFB.RTS,D,20160815,000000,97210.0000000
SPFB.RTS,D,20160816,000000,97100.0000000
SPFB.RTS,D,20160817,000000,97110.0000000
SPFB.RTS,D,20160818,000000,97220.0000000
SPFB.RTS,D,20160819,000000,96410.0000000
SPFB.RTS,D,20160822,000000,95710.0000000
SPFB.RTS,D,20160823,000000,96800.0000000
SPFB.RTS,D,20160824,000000,95710.0000000
SPFB.RTS,D,20160825,000000,96480.0000000
SPFB.RTS,D,20160826,000000,95900.0000000
SPFB.RTS,D,20160829,000000,96240.0000000
SPFB.RTS,D,20160830,000000,95630.0000000
SPFB.RTS,D,20160831,000000,94760.0000000
SPFB.RTS,D,20160901,000000,94500.0000000
SPFB.RTS,D,20160902,000000,96750.0000000
SPFB.RTS,D,20160905,000000,97670.0000000
SPFB.RTS,D,20160906,000000,99350.0000000
SPFB.RTS,D,20160907,000000,100900.0000000
SPFB.RTS,D,20160908,000000,100540.0000000
SPFB.RTS,D,20160909,000000,97900.0000000
SPFB.RTS,D,20160912,000000,98370.0000000
SPFB.RTS,D,20160913,000000,96210.0000000
SPFB.RTS,D,20160914,000000,95860.0000000
SPFB.RTS,D,20160915,000000,96760.0000000
SPFB.RTS,D,20160916,000000,95580.0000000
SPFB.RTS,D,20160919,000000,96070.0000000
SPFB.RTS,D,20160920,000000,96510.0000000
SPFB.RTS,D,20160921,000000,98440.0000000
SPFB.RTS,D,20160922,000000,99450.0000000
SPFB.RTS,D,20160923,000000,97990.0000000
SPFB.RTS,D,20160926,000000,97570.0000000
SPFB.RTS,D,20160927,000000,97420.0000000
SPFB.RTS,D,20160928,000000,99480.0000000
SPFB.RTS,D,20160929,000000,98810.0000000
SPFB.RTS,D,20160930,000000,98420.0000000
SPFB.RTS,D,20161003,000000,100070.0000000
SPFB.RTS,D,20161004,000000,98860.0000000
SPFB.RTS,D,20161005,000000,99120.0000000
SPFB.RTS,D,20161006,000000,100500.0000000
SPFB.RTS,D,20161007,000000,99760.0000000
SPFB.RTS,D,20161010,000000,101390.0000000
SPFB.RTS,D,20161011,000000,100310.0000000
SPFB.RTS,D,20161012,000000,99290.0000000
SPFB.RTS,D,20161013,000000,98500.0000000
SPFB.RTS,D,20161014,000000,98230.0000000
SPFB.RTS,D,20161017,000000,97560.0000000
SPFB.RTS,D,20161018,000000,98480.0000000
SPFB.RTS,D,20161019,000000,99400.0000000
SPFB.RTS,D,20161020,000000,98650.0000000
SPFB.RTS,D,20161021,000000,98870.0000000
SPFB.RTS,D,20161024,000000,99470.0000000
SPFB.RTS,D,20161025,000000,99890.0000000
SPFB.RTS,D,20161026,000000,98880.0000000
SPFB.RTS,D,20161027,000000,99090.0000000
SPFB.RTS,D,20161028,000000,98420.0000000
SPFB.RTS,D,20161031,000000,98790.0000000
SPFB.RTS,D,20161101,000000,98660.0000000
SPFB.RTS,D,20161102,000000,97080.0000000
SPFB.RTS,D,20161103,000000,96500.0000000
SPFB.RTS,D,20161107,000000,97500.0000000
SPFB.RTS,D,20161108,000000,97620.0000000
SPFB.RTS,D,20161109,000000,99720.0000000
SPFB.RTS,D,20161110,000000,98610.0000000
SPFB.RTS,D,20161111,000000,97970.0000000
SPFB.RTS,D,20161114,000000,97020.0000000
SPFB.RTS,D,20161115,000000,99750.0000000
SPFB.RTS,D,20161116,000000,98810.0000000
SPFB.RTS,D,20161117,000000,99280.0000000
SPFB.RTS,D,20161118,000000,99400.0000000
SPFB.RTS,D,20161121,000000,101310.0000000
SPFB.RTS,D,20161122,000000,102490.0000000
SPFB.RTS,D,20161123,000000,101880.0000000
SPFB.RTS,D,20161124,000000,102590.0000000
SPFB.RTS,D,20161125,000000,101820.0000000
SPFB.RTS,D,20161128,000000,101460.0000000
SPFB.RTS,D,20161129,000000,100880.0000000
SPFB.RTS,D,20161130,000000,104030.0000000
SPFB.RTS,D,20161201,000000,104260.0000000
SPFB.RTS,D,20161202,000000,105050.0000000
SPFB.RTS,D,20161205,000000,106540.0000000
SPFB.RTS,D,20161206,000000,106430.0000000
SPFB.RTS,D,20161207,000000,107740.0000000
SPFB.RTS,D,20161208,000000,110300.0000000
SPFB.RTS,D,20161209,000000,111350.0000000
SPFB.RTS,D,20161212,000000,113930.0000000
SPFB.RTS,D,20161213,000000,116250.0000000
SPFB.RTS,D,20161214,000000,111860.0000000
SPFB.RTS,D,20161215,000000,114030.0000000
SPFB.RTS,D,20161216,000000,112750.0000000
SPFB.RTS,D,20161219,000000,111870.0000000
SPFB.RTS,D,20161220,000000,113580.0000000
SPFB.RTS,D,20161221,000000,112900.0000000
SPFB.RTS,D,20161222,000000,112360.0000000
SPFB.RTS,D,20161223,000000,111910.0000000
SPFB.RTS,D,20161226,000000,112570.0000000
SPFB.RTS,D,20161227,000000,114050.0000000
SPFB.RTS,D,20161228,000000,114140.0000000
SPFB.RTS,D,20161229,000000,114860.0000000
SPFB.RTS,D,20161230,000000,114780.0000000
SPFB.RTS,D,20170103,000000,118080.0000000
SPFB.RTS,D,20170104,000000,118320.0000000
SPFB.RTS,D,20170105,000000,117870.0000000
SPFB.RTS,D,20170106,000000,117530.0000000
