<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
LKOH,D,20160701,000000,2707.0000000
LKOH,D,20160704,000000,2745.0000000
LKOH,D,20160705,000000,2769.5000000
LKOH,D,20160706,000000,2732.0000000
LKOH,D,20160707,000000,2748.0000000
LKOH,D,20160708,000000,2788.0000000
LKOH,D,20160711,000000,2752.0000000
LKOH,D,20160712,000000,2777.0000000
LKOH,D,20160713,000000,2741.0000000
LKOH,D,20160714,000000,2770.0000000
LKOH,D,20160715,000000,2792.5000000
LKOH,D,20160718,000000,2799.0000000
LKOH,D,20160719,000000,2828.0000000
LKOH,D,20160720,000000,2840.5000000
LKOH,D,20160721,000000,2858.0000000
LKOH,D,20160722,000000,2855.0000000
LKOH,D,20160725,000000,2829.0000000
LKOH,D,20160726,000000,2821.0000000
LKOH,D,20160727,000000,2836.5000000
LKOH,D,20160728,000000,2887.0000000
LKOH,D,20160729,000000,2867.0000000
LKOH,D,20160801,000000,2886.0000000
LKOH,D,20160802,000000,2781.0000000
LKOH,D,20160803,000000,2797.0000000
LKOH,D,20160804,000000,2839.5000000
LKOH,D,20160805,000000,2815.0000000
LKOH,D,20160808,000000,2842.5000000
LKOH,D,20160809,000000,2806.0000000
LKOH,D,20160810,000000,2738.0000000
LKOH,D,20160811,000000,2785.0000000
LKOH,D,20160812,000000,2870.0000000
LKOH,D,20160815,000000,2922.5000000
LKOH,D,20160816,000000,2932.5000000
LKOH,D,20160817,000000,2932.0000000
LKOH,D,20160818,000000,2956.5000000
LKOH,D,20160819,000000,2948.0000000
LKOH,D,20160822,000000,2985.0000000
LKOH,D,20160823,000000,3014.0000000
LKOH,D,20160824,000000,3035.0000000
LKOH,D,20160825,000000,3049.0000000
LKOH,D,20160826,000000,3025.0000000
LKOH,D,20160829,000000,2990.5000000
LKOH,D,20160830,000000,2989.5000000
LKOH,D,20160831,000000,2913.0000000
LKOH,D,20160901,000000,2938.0000000
LKOH,D,20160902,000000,3003.0000000
LKOH,D,20160905,000000,3053.0000000
LKOH,D,20160906,000000,3085.0000000
LKOH,D,20160907,000000,3084.0000000
LKOH,D,20160908,000000,3108.0000000
LKOH,D,20160909,000000,3060.5000000
LKOH,D,20160912,000000,3045.5000000
LKOH,D,20160913,000000,3037.5000000
LKOH,D,20160914,000000,3054.0000000
LKOH,D,20160915,000000,3057.0000000
LKOH,D,20160916,000000,3028.0000000
LKOH,D,20160919,000000,3018.0000000
LKOH,D,20160920,000000,3055.0000000
LKOH,D,20160921,000000,3048.5000000
LKOH,D,20160922,000000,3125.0000000
LKOH,D,20160923,000000,3085.5000000
LKOH,D,20160926,000000,3060.0000000
LKOH,D,20160927,000000,3028.0000000
LKOH,D,20160928,000000,3010.5000000
